127.0.0.1 - - [10/May/2023:09:17:31 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [10/May/2023:09:17:33 +0900] "GET /jstl_study/step4-choose.jsp HTTP/1.1" 200 240
0:0:0:0:0:0:0:1 - - [10/May/2023:09:17:33 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [10/May/2023:09:23:01 +0900] "GET /jstl_study/step4-choose.jsp HTTP/1.1" 200 270
0:0:0:0:0:0:0:1 - - [10/May/2023:09:23:08 +0900] "GET /jstl_study/step4-choose.jsp HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [10/May/2023:09:23:35 +0900] "GET /jstl_study/step4-choose.jsp HTTP/1.1" 200 270
0:0:0:0:0:0:0:1 - - [10/May/2023:09:23:54 +0900] "GET /jstl_study/step4-choose.jsp HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [10/May/2023:09:25:04 +0900] "GET /jstl_study/step4-choose.jsp HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [10/May/2023:09:25:29 +0900] "GET /jstl_study/step4-choose.jsp HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [10/May/2023:09:31:40 +0900] "GET /jstl_study/step4-choose.jsp HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [10/May/2023:09:32:16 +0900] "GET /jstl_study/step4-choose.jsp HTTP/1.1" 200 320
0:0:0:0:0:0:0:1 - - [10/May/2023:09:32:16 +0900] "GET /jstl_study/step4-choose.jsp HTTP/1.1" 200 320
0:0:0:0:0:0:0:1 - - [10/May/2023:09:32:30 +0900] "GET /jstl_study/step4-choose.jsp HTTP/1.1" 200 328
0:0:0:0:0:0:0:1 - - [10/May/2023:09:32:41 +0900] "GET /jstl_study/step4-choose.jsp HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [10/May/2023:09:33:10 +0900] "GET /jstl_study/step4-choose.jsp HTTP/1.1" 200 341
0:0:0:0:0:0:0:1 - - [10/May/2023:09:33:17 +0900] "GET /jstl_study/step4-choose.jsp HTTP/1.1" 200 331
0:0:0:0:0:0:0:1 - - [10/May/2023:09:34:18 +0900] "GET /jstl_study/step4-choose.jsp HTTP/1.1" 200 328
0:0:0:0:0:0:0:1 - - [10/May/2023:09:37:13 +0900] "GET /jstl_study/step4-choose.jsp HTTP/1.1" 200 314
0:0:0:0:0:0:0:1 - - [10/May/2023:09:38:21 +0900] "GET /jstl_study/step4-choose.jsp HTTP/1.1" 200 248
0:0:0:0:0:0:0:1 - - [10/May/2023:09:38:22 +0900] "GET /jstl_study/step4-choose.jsp HTTP/1.1" 200 248
0:0:0:0:0:0:0:1 - - [10/May/2023:09:38:23 +0900] "GET /jstl_study/step4-choose.jsp HTTP/1.1" 200 248
0:0:0:0:0:0:0:1 - - [10/May/2023:09:38:27 +0900] "GET /jstl_study/step4-choose.jsp HTTP/1.1" 200 248
0:0:0:0:0:0:0:1 - - [10/May/2023:09:38:30 +0900] "GET /jstl_study/step4-choose.jsp HTTP/1.1" 200 248
0:0:0:0:0:0:0:1 - - [10/May/2023:09:38:30 +0900] "GET /jstl_study/step4-choose.jsp HTTP/1.1" 200 248
0:0:0:0:0:0:0:1 - - [10/May/2023:09:38:30 +0900] "GET /jstl_study/step4-choose.jsp HTTP/1.1" 200 248
0:0:0:0:0:0:0:1 - - [10/May/2023:09:38:30 +0900] "GET /jstl_study/step4-choose.jsp HTTP/1.1" 200 248
0:0:0:0:0:0:0:1 - - [10/May/2023:09:38:30 +0900] "GET /jstl_study/step4-choose.jsp HTTP/1.1" 200 248
0:0:0:0:0:0:0:1 - - [10/May/2023:09:38:31 +0900] "GET /jstl_study/step4-choose.jsp HTTP/1.1" 200 248
0:0:0:0:0:0:0:1 - - [10/May/2023:09:38:31 +0900] "GET /jstl_study/step4-choose.jsp HTTP/1.1" 200 248
0:0:0:0:0:0:0:1 - - [10/May/2023:09:38:31 +0900] "GET /jstl_study/step4-choose.jsp HTTP/1.1" 200 248
